a_p1,a_o1,a_p2,a_o2,b_p1,b_o1,b_p2,b_o2,a_ev,b_ev,ev_diff,ev_ratio,rare
0.38,4.72,0.62,17,1,9.94,0,0,12.33,9.94,2.39,1.24,none
0.62,1.83,0.38,17.08,1,5.24,0,0,7.62,5.24,2.38,1.45,none
0.17,2.66,0.83,15.63,1,7.77,0,0,13.43,7.77,5.66,1.73,unattractive
0.63,4.52,0.37,17.68,1,14.18,0,0,9.39,14.18,-4.79,0.66,none
0.03,7.11,0.97,16.34,1,10.44,0,0,16.06,10.44,5.62,1.54,unattractive
0.29,5.75,0.71,13.16,1,10.56,0,0,11.01,10.56,0.45,1.04,none
0.21,0.47,0.79,16.27,1,16.09,0,0,12.95,16.09,-3.14,0.8,none
0.2,10.38,0.8,18.88,1,12.29,0,0,17.18,12.29,4.89,1.4,none
0.61,11.01,0.39,17.69,1,12.88,0,0,13.62,12.88,0.74,1.06,none
0.51,6.59,0.49,12.75,1,12.23,0,0,9.61,12.23,-2.62,0.79,none
0.62,8.42,0.38,17.51,1,16.57,0,0,11.87,16.57,-4.7,0.72,none
0.44,8.26,0.56,18.5,1,16.88,0,0,13.99,16.88,-2.89,0.83,none
0.44,5.28,0.56,19.34,1,10.5,0,0,13.15,10.5,2.65,1.25,none
0.73,4.77,0.27,17.55,1,9.29,0,0,8.22,9.29,-1.07,0.88,none
0.08,11.09,0.92,17.75,1,15.03,0,0,17.22,15.03,2.19,1.15,unattractive
0.85,0.31,0.15,6.66,1,0.51,0,0,1.26,0.51,0.75,2.47,attractive
0.13,2.71,0.87,17.43,1,4.7,0,0,15.52,4.7,10.82,3.3,unattractive
0.86,7.83,0.14,18.38,1,13.03,0,0,9.31,13.03,-3.72,0.71,attractive
0.24,0.19,0.76,9.89,1,7.61,0,0,7.56,7.61,-0.05,0.99,none
0.98,7.37,0.02,17.19,1,9.62,0,0,7.57,9.62,-2.05,0.79,attractive
0.9,0.5,0.1,8.38,1,4.26,0,0,1.29,4.26,-2.97,0.3,attractive
0.66,3.4,0.34,16.59,1,15.29,0,0,7.88,15.29,-7.41,0.52,none
0.54,2.63,0.46,14.31,1,10.15,0,0,8,10.15,-2.15,0.79,none
0.18,9.01,0.82,15.03,1,13.84,0,0,13.95,13.84,0.11,1.01,unattractive
0.38,2.09,0.62,15.79,1,4.92,0,0,10.58,4.92,5.66,2.15,none
0.99,3.5,0.01,14.39,1,8.65,0,0,3.61,8.65,-5.04,0.42,attractive
0.45,16.17,0.55,19.89,1,18.44,0,0,18.22,18.44,-0.22,0.99,none
0.83,1.34,0.17,6.23,1,3.64,0,0,2.17,3.64,-1.47,0.6,attractive
0.31,5.49,0.69,14.51,1,13.36,0,0,11.71,13.36,-1.65,0.88,none
0.47,3.86,0.53,9.89,1,7.71,0,0,7.06,7.71,-0.65,0.92,none
0.44,8.46,0.56,17.83,1,12.06,0,0,13.71,12.06,1.65,1.14,none
0.97,10.28,0.03,19.42,1,14.59,0,0,10.55,14.59,-4.04,0.72,attractive
0.35,5.45,0.65,13.33,1,12.71,0,0,10.57,12.71,-2.14,0.83,none
0.29,0.42,0.71,17.46,1,11.88,0,0,12.52,11.88,0.64,1.05,none
0.36,1.02,0.64,17.31,1,4.63,0,0,11.45,4.63,6.82,2.47,none
0.83,0.77,0.17,9.97,1,4.27,0,0,2.33,4.27,-1.94,0.55,attractive
0.85,0.07,0.15,19.56,1,3.29,0,0,2.99,3.29,-0.3,0.91,attractive
0.87,1.61,0.13,9.23,1,2.4,0,0,2.6,2.4,0.2,1.08,attractive
0.43,1.92,0.57,17.82,1,2.29,0,0,10.98,2.29,8.69,4.79,none
0.58,0.02,0.42,13.33,1,5.04,0,0,5.61,5.04,0.57,1.11,none
0.05,6.87,0.95,17.88,1,16.8,0,0,17.33,16.8,0.53,1.03,unattractive
0.39,3.1,0.61,17.9,1,14.35,0,0,12.13,14.35,-2.22,0.85,none
0.85,0.95,0.15,2.95,1,1.73,0,0,1.25,1.73,-0.48,0.72,attractive
0.02,3.54,0.98,16.42,1,7.88,0,0,16.16,7.88,8.28,2.05,unattractive
0.89,2.63,0.11,18.27,1,14.46,0,0,4.35,14.46,-10.11,0.3,attractive
0.36,1.82,0.64,4.36,1,4.13,0,0,3.45,4.13,-0.68,0.84,none
0.58,0.48,0.42,7.51,1,3.02,0,0,3.43,3.02,0.41,1.14,none
0.71,1.49,0.29,17.24,1,8.28,0,0,6.06,8.28,-2.22,0.73,none
0.96,6.96,0.04,16.72,1,13.14,0,0,7.35,13.14,-5.79,0.56,attractive
0.55,1.12,0.45,9,1,5.88,0,0,4.67,5.88,-1.21,0.79,none
0.23,4.94,0.77,13.06,1,10.87,0,0,11.19,10.87,0.32,1.03,none
0.95,9.97,0.05,14.74,1,10.11,0,0,10.21,10.11,0.1,1.01,attractive
0.47,6.69,0.53,19.54,1,14.16,0,0,13.5,14.16,-0.66,0.95,none
0.16,4.33,0.84,17.65,1,15.46,0,0,15.52,15.46,0.06,1,unattractive
0.37,7.91,0.63,15.1,1,11.49,0,0,12.44,11.49,0.95,1.08,none
0.52,12,0.48,17.92,1,15.59,0,0,14.84,15.59,-0.75,0.95,none
0.42,4.42,0.58,15.29,1,11.7,0,0,10.72,11.7,-0.98,0.92,none
0.38,2.37,0.62,17.13,1,13.08,0,0,11.52,13.08,-1.56,0.88,none
0.22,3.56,0.78,11.1,1,7.55,0,0,9.44,7.55,1.89,1.25,none
0.7,3.93,0.3,19.21,1,12.35,0,0,8.51,12.35,-3.84,0.69,none
0.86,6.85,0.14,18.09,1,18.07,0,0,8.42,18.07,-9.65,0.47,attractive
0.06,1.96,0.94,19.54,1,17.63,0,0,18.49,17.63,0.86,1.05,unattractive
0.31,0.14,0.69,17.96,1,4.53,0,0,12.44,4.53,7.91,2.75,none
0.04,9.13,0.96,19.62,1,13.14,0,0,19.2,13.14,6.06,1.46,unattractive
0.53,3.11,0.47,18.08,1,7.7,0,0,10.15,7.7,2.45,1.32,none
0.69,0.23,0.31,18.75,1,16.53,0,0,5.97,16.53,-10.56,0.36,none
0.39,3.43,0.61,16.7,1,15.9,0,0,11.52,15.9,-4.38,0.72,none
0.97,11.71,0.03,19.95,1,17.64,0,0,11.96,17.64,-5.68,0.68,attractive
0.82,3.71,0.18,17.85,1,7.27,0,0,6.26,7.27,-1.01,0.86,attractive
0.28,1.3,0.72,16.83,1,6.25,0,0,12.48,6.25,6.23,2,none
0.29,7.66,0.71,18.79,1,9.98,0,0,15.56,9.98,5.58,1.56,none
0.2,1.52,0.8,9.16,1,4.57,0,0,7.63,4.57,3.06,1.67,none
0.11,0.01,0.89,19.63,1,16.3,0,0,17.47,16.3,1.17,1.07,unattractive
0.2,11.03,0.8,19.64,1,18.7,0,0,17.92,18.7,-0.78,0.96,none
0.01,2.77,0.99,14.08,1,9.36,0,0,13.97,9.36,4.61,1.49,unattractive
0.89,3.61,0.11,13.53,1,11.84,0,0,4.7,11.84,-7.14,0.4,attractive
0.93,13.58,0.07,17.39,1,15.53,0,0,13.85,15.53,-1.68,0.89,attractive
0.67,0.56,0.33,9.47,1,5.18,0,0,3.5,5.18,-1.68,0.68,none
0.85,1.85,0.15,5.86,1,2.09,0,0,2.45,2.09,0.36,1.17,attractive
0.64,2.57,0.36,14.43,1,10.88,0,0,6.84,10.88,-4.04,0.63,none
0.02,2.85,0.98,17.57,1,7.07,0,0,17.28,7.07,10.21,2.44,unattractive
0.59,6.9,0.41,14.59,1,8.4,0,0,10.05,8.4,1.65,1.2,none
0.16,9.84,0.84,18.19,1,17.27,0,0,16.85,17.27,-0.42,0.98,unattractive
0.29,0.78,0.71,17.84,1,13.79,0,0,12.89,13.79,-0.9,0.93,none
0.13,0.43,0.87,18.06,1,14.22,0,0,15.77,14.22,1.55,1.11,unattractive
0.44,7.21,0.56,19.19,1,15.19,0,0,13.92,15.19,-1.27,0.92,none
0.38,2.52,0.62,9.5,1,5.9,0,0,6.85,5.9,0.95,1.16,none
0.55,3.32,0.45,8.3,1,4.63,0,0,5.56,4.63,0.93,1.2,none
0.65,0.64,0.35,4.91,1,4.56,0,0,2.13,4.56,-2.43,0.47,none
0.5,0.18,0.5,10.9,1,5.14,0,0,5.54,5.14,0.4,1.08,none
0.27,1.81,0.73,19.89,1,15.2,0,0,15.01,15.2,-0.19,0.99,none
0.4,4.2,0.6,10.81,1,4.84,0,0,8.17,4.84,3.33,1.69,none
0.1,11.71,0.9,18.12,1,16.84,0,0,17.48,16.84,0.64,1.04,unattractive
0.51,4.69,0.49,8.54,1,7.78,0,0,6.58,7.78,-1.2,0.85,none
0.22,8.69,0.78,19.8,1,17.62,0,0,17.36,17.62,-0.26,0.99,none
0.48,4.22,0.52,15.93,1,9.26,0,0,10.31,9.26,1.05,1.11,none
0.85,1.25,0.15,15.77,1,1.88,0,0,3.43,1.88,1.55,1.82,attractive
0.56,10.52,0.44,19.95,1,11.26,0,0,14.67,11.26,3.41,1.3,none
0.41,0.83,0.59,10.96,1,7.98,0,0,6.81,7.98,-1.17,0.85,none
0.31,3.31,0.69,15.87,1,10.58,0,0,11.98,10.58,1.4,1.13,none
0.25,1.57,0.75,11.6,1,4.49,0,0,9.09,4.49,4.6,2.02,none
0.39,2.9,0.61,12.77,1,11.7,0,0,8.92,11.7,-2.78,0.76,none
0.18,8.08,0.82,16.12,1,8.65,0,0,14.67,8.65,6.02,1.7,unattractive
0.67,10.62,0.33,17.59,1,15.03,0,0,12.92,15.03,-2.11,0.86,none
0.98,5.26,0.02,9.59,1,5.35,0,0,5.35,5.35,0,1,attractive
0.82,4.32,0.18,18.9,1,4.46,0,0,6.94,4.46,2.48,1.56,attractive
0.19,3.47,0.81,15.09,1,14.96,0,0,12.88,14.96,-2.08,0.86,unattractive
0.28,0.26,0.72,16.92,1,8.54,0,0,12.26,8.54,3.72,1.44,none
0.08,1.55,0.92,15.71,1,4.37,0,0,14.58,4.37,10.21,3.34,unattractive
0.27,2.53,0.73,16.38,1,4.44,0,0,12.64,4.44,8.2,2.85,none
0.73,1.41,0.27,16.36,1,10.46,0,0,5.45,10.46,-5.01,0.52,none
0.58,7.96,0.42,18.75,1,10.31,0,0,12.49,10.31,2.18,1.21,none
0.26,10.38,0.74,19.35,1,19.34,0,0,17.02,19.34,-2.32,0.88,none
0.82,6.22,0.18,16.93,1,14.18,0,0,8.15,14.18,-6.03,0.57,attractive
0.44,9.68,0.56,19.26,1,12.39,0,0,15.04,12.39,2.65,1.21,none
0.14,1.03,0.86,11.42,1,8.73,0,0,9.97,8.73,1.24,1.14,unattractive
0.4,3.1,0.6,16.6,1,10.16,0,0,11.2,10.16,1.04,1.1,none
0.23,4.08,0.77,12.79,1,8.06,0,0,10.79,8.06,2.73,1.34,none
0.37,8.82,0.63,18.19,1,17.05,0,0,14.72,17.05,-2.33,0.86,none
0.07,1.64,0.93,13.03,1,9.83,0,0,12.23,9.83,2.4,1.24,unattractive
0.65,2.32,0.35,11.63,1,6.36,0,0,5.58,6.36,-0.78,0.88,none
0.74,7.57,0.26,13.61,1,8.01,0,0,9.14,8.01,1.13,1.14,none
0.89,2.07,0.11,19.22,1,16.33,0,0,3.96,16.33,-12.37,0.24,attractive
0.79,1.74,0.21,14.34,1,12.66,0,0,4.39,12.66,-8.27,0.35,none
0.77,1.21,0.23,13.13,1,6.49,0,0,3.95,6.49,-2.54,0.61,none
0.1,6.98,0.9,11.14,1,9.3,0,0,10.72,9.3,1.42,1.15,unattractive
0.62,7.93,0.38,16.52,1,16.46,0,0,11.19,16.46,-5.27,0.68,none
0.31,2.59,0.69,19.18,1,3.93,0,0,14.04,3.93,10.11,3.57,none
0.06,4.27,0.94,18.77,1,17.31,0,0,17.9,17.31,0.59,1.03,unattractive
0.47,3,0.53,14.17,1,13.27,0,0,8.92,13.27,-4.35,0.67,none
0.81,3.03,0.19,9.73,1,5.58,0,0,4.3,5.58,-1.28,0.77,attractive
0.5,9.05,0.5,16.98,1,15.13,0,0,13.02,15.13,-2.11,0.86,none
0.74,7.1,0.26,19.11,1,12.94,0,0,10.22,12.94,-2.72,0.79,none
0.32,11.1,0.68,15.53,1,12.11,0,0,14.11,12.11,2,1.17,none
0.3,9.67,0.7,17.36,1,12.63,0,0,15.05,12.63,2.42,1.19,none
0.55,4.17,0.45,19.29,1,14.28,0,0,10.97,14.28,-3.31,0.77,none
0.56,9.37,0.44,17.96,1,15.27,0,0,13.15,15.27,-2.12,0.86,none
0.84,1.68,0.16,17.71,1,4.17,0,0,4.24,4.17,0.07,1.02,attractive
0.97,7.51,0.03,18.21,1,8.59,0,0,7.83,8.59,-0.76,0.91,attractive
0.62,3.27,0.38,19.75,1,6.84,0,0,9.53,6.84,2.69,1.39,none
0.97,7.07,0.03,15.98,1,10,0,0,7.34,10,-2.66,0.73,attractive
0.04,7.27,0.96,11.81,1,10.8,0,0,11.63,10.8,0.83,1.08,unattractive
0.9,7.38,0.1,18.68,1,18.64,0,0,8.51,18.64,-10.13,0.46,attractive
0.69,13.78,0.31,17.86,1,17.71,0,0,15.04,17.71,-2.67,0.85,none
0.88,3.58,0.12,13.33,1,9.02,0,0,4.75,9.02,-4.27,0.53,attractive
0.82,4.51,0.18,6.57,1,4.72,0,0,4.88,4.72,0.16,1.03,attractive
0.6,0.76,0.4,2.71,1,1.85,0,0,1.54,1.85,-0.31,0.83,none
0.68,4.15,0.32,16.79,1,5.85,0,0,8.19,5.85,2.34,1.4,none
0.32,1.86,0.68,8.33,1,3.75,0,0,6.26,3.75,2.51,1.67,none
0.18,9.15,0.82,13.54,1,10.8,0,0,12.75,10.8,1.95,1.18,unattractive
0.79,3.51,0.21,11.08,1,4.09,0,0,5.1,4.09,1.01,1.25,none
0.87,8.78,0.13,11.05,1,10.03,0,0,9.08,10.03,-0.95,0.91,attractive
0.35,14.38,0.65,18.4,1,17.37,0,0,16.99,17.37,-0.38,0.98,none
0.58,9.45,0.42,19.15,1,19.02,0,0,13.52,19.02,-5.5,0.71,none
0.52,4.09,0.48,14.1,1,12.95,0,0,8.89,12.95,-4.06,0.69,none
0.91,2.21,0.09,8.17,1,7.95,0,0,2.75,7.95,-5.2,0.35,attractive
0.04,10.91,0.96,16.26,1,11.91,0,0,16.05,11.91,4.14,1.35,unattractive
0.02,2.01,0.98,14.81,1,14.62,0,0,14.55,14.62,-0.07,1,unattractive
0.53,7.32,0.47,18.66,1,11.9,0,0,12.65,11.9,0.75,1.06,none
0.42,15.29,0.58,19.19,1,16.34,0,0,17.55,16.34,1.21,1.07,none
0.12,7.34,0.88,15.61,1,14,0,0,14.62,14,0.62,1.04,unattractive
0.72,2.58,0.28,12.66,1,7.75,0,0,5.4,7.75,-2.35,0.7,none
0.01,3.17,0.99,16.52,1,12.1,0,0,16.39,12.1,4.29,1.35,unattractive
0.08,3.65,0.92,18.26,1,8.86,0,0,17.09,8.86,8.23,1.93,unattractive
0.94,6.4,0.06,14.63,1,11.93,0,0,6.89,11.93,-5.04,0.58,attractive
0.39,4.48,0.61,6.4,1,5.2,0,0,5.65,5.2,0.45,1.09,none
0.24,10.87,0.76,17.58,1,15.72,0,0,15.97,15.72,0.25,1.02,none
0.52,2.56,0.48,15.19,1,5.07,0,0,8.62,5.07,3.55,1.7,none
0.13,3.17,0.87,11.1,1,4.45,0,0,10.07,4.45,5.62,2.26,unattractive
0.72,7.8,0.28,14.85,1,14.39,0,0,9.77,14.39,-4.62,0.68,none
0.45,2.26,0.55,18.64,1,17.79,0,0,11.27,17.79,-6.52,0.63,none
0.63,2.94,0.37,13.41,1,12.48,0,0,6.81,12.48,-5.67,0.55,none
0.51,1.73,0.49,17.01,1,7,0,0,9.22,7,2.22,1.32,none
0.44,6.79,0.56,19.37,1,13.44,0,0,13.83,13.44,0.39,1.03,none
0.48,0.32,0.52,14.01,1,2.51,0,0,7.44,2.51,4.93,2.96,none
0.02,2.01,0.98,9.08,1,2.84,0,0,8.94,2.84,6.1,3.15,unattractive
0.85,7.11,0.15,16.91,1,14.38,0,0,8.58,14.38,-5.8,0.6,attractive
0.24,13.31,0.76,14.94,1,14.85,0,0,14.55,14.85,-0.3,0.98,none
0.2,1.49,0.8,15.49,1,7.52,0,0,12.69,7.52,5.17,1.69,none
0.64,9.61,0.36,18.76,1,11.39,0,0,12.9,11.39,1.51,1.13,none
0.24,3,0.76,17.28,1,8.65,0,0,13.85,8.65,5.2,1.6,none
0.28,5.39,0.72,11.08,1,6.13,0,0,9.49,6.13,3.36,1.55,none
0.4,4.66,0.6,7.45,1,5.36,0,0,6.33,5.36,0.97,1.18,none
0.57,8.02,0.43,17.3,1,17.23,0,0,12.01,17.23,-5.22,0.7,none
0.29,1.5,0.71,6.16,1,5.25,0,0,4.81,5.25,-0.44,0.92,none
0.84,2.5,0.16,19.49,1,12.29,0,0,5.22,12.29,-7.07,0.42,attractive
0.02,2.45,0.98,7.52,1,5.27,0,0,7.42,5.27,2.15,1.41,unattractive
0.92,7.94,0.08,15.91,1,8.53,0,0,8.58,8.53,0.05,1.01,attractive
0.72,1.29,0.28,18.01,1,13.19,0,0,5.97,13.19,-7.22,0.45,none
0.3,0.1,0.7,16.25,1,7.37,0,0,11.4,7.37,4.03,1.55,none
0.14,5.71,0.86,17.95,1,9.54,0,0,16.24,9.54,6.7,1.7,unattractive
0.37,1.69,0.63,13.96,1,7.2,0,0,9.42,7.2,2.22,1.31,none
0.12,2.27,0.88,13.55,1,11.71,0,0,12.2,11.71,0.49,1.04,unattractive
0.38,10.25,0.62,18.67,1,17.56,0,0,15.47,17.56,-2.09,0.88,none
0.5,5.13,0.5,7.04,1,6.28,0,0,6.08,6.28,-0.2,0.97,none
0.17,4.32,0.83,12.63,1,9.23,0,0,11.22,9.23,1.99,1.22,unattractive
0.57,6.95,0.43,18.91,1,10.72,0,0,12.09,10.72,1.37,1.13,none
0.77,0.39,0.23,19.39,1,1.04,0,0,4.76,1.04,3.72,4.58,none
0.3,2.32,0.7,8.64,1,8.21,0,0,6.74,8.21,-1.47,0.82,none
0.36,4.72,0.64,19.03,1,14.38,0,0,13.88,14.38,-0.5,0.97,none
0.18,3.13,0.82,14.37,1,9.27,0,0,12.35,9.27,3.08,1.33,unattractive
0.64,19.18,0.36,19.8,1,19.66,0,0,19.4,19.66,-0.26,0.99,none
0.05,3.75,0.95,13.52,1,8.45,0,0,13.03,8.45,4.58,1.54,unattractive
0.03,1.39,0.97,17.45,1,9.99,0,0,16.97,9.99,6.98,1.7,unattractive
0.64,7.27,0.36,8.18,1,7.44,0,0,7.6,7.44,0.16,1.02,none
0.1,0.33,0.9,12.99,1,6.52,0,0,11.72,6.52,5.2,1.8,unattractive
0.48,5.63,0.52,18.8,1,17.37,0,0,12.48,17.37,-4.89,0.72,none
0.15,4.81,0.85,15.52,1,11.73,0,0,13.91,11.73,2.18,1.19,unattractive
0.28,1.18,0.72,18.72,1,5.57,0,0,13.81,5.57,8.24,2.48,none
0.13,4.37,0.87,16.64,1,9.33,0,0,15.04,9.33,5.71,1.61,unattractive
0.23,3.67,0.77,13.26,1,10.07,0,0,11.05,10.07,0.98,1.1,none
0.98,15.86,0.02,18.17,1,16.4,0,0,15.91,16.4,-0.49,0.97,attractive
0.07,3.75,0.93,13.43,1,11.15,0,0,12.75,11.15,1.6,1.14,unattractive
0.85,6.84,0.15,12.51,1,9.73,0,0,7.69,9.73,-2.04,0.79,attractive
0.55,1.64,0.45,12.6,1,1.99,0,0,6.57,1.99,4.58,3.3,none
0.52,3.26,0.48,10.73,1,7.74,0,0,6.85,7.74,-0.89,0.89,none
0.32,8.42,0.68,11.36,1,9.84,0,0,10.42,9.84,0.58,1.06,none
0.43,0.67,0.57,9.18,1,7.83,0,0,5.52,7.83,-2.31,0.7,none
0.33,4.5,0.67,15.36,1,6.53,0,0,11.78,6.53,5.25,1.8,none
0.17,2.36,0.83,19.51,1,6.73,0,0,16.59,6.73,9.86,2.47,unattractive
0.93,10.23,0.07,11.71,1,11.57,0,0,10.33,11.57,-1.24,0.89,attractive
0.83,7.99,0.17,16.55,1,16.25,0,0,9.45,16.25,-6.8,0.58,attractive
0.72,7.3,0.28,19.51,1,9.02,0,0,10.72,9.02,1.7,1.19,none
0.03,6.3,0.97,15.63,1,13.64,0,0,15.35,13.64,1.71,1.13,unattractive
0.63,13.84,0.37,16.19,1,14.87,0,0,14.71,14.87,-0.16,0.99,none
0.99,2.57,0.01,11.5,1,9.7,0,0,2.66,9.7,-7.04,0.27,attractive
0.63,2.3,0.37,13.05,1,7.39,0,0,6.28,7.39,-1.11,0.85,none
0.84,2.46,0.16,17.4,1,12.96,0,0,4.85,12.96,-8.11,0.37,attractive
0.06,1.5,0.94,12.22,1,6.87,0,0,11.58,6.87,4.71,1.69,unattractive
0.63,11.48,0.37,17.61,1,14.78,0,0,13.75,14.78,-1.03,0.93,none
0.13,2.07,0.87,19.32,1,6.47,0,0,17.08,6.47,10.61,2.64,unattractive
0.27,4.47,0.73,16.46,1,11.97,0,0,13.22,11.97,1.25,1.1,none
0.62,1.14,0.38,18.21,1,8.74,0,0,7.63,8.74,-1.11,0.87,none
0.78,6.39,0.22,18.61,1,15.97,0,0,9.08,15.97,-6.89,0.57,none
0.78,9.46,0.22,15.07,1,13.58,0,0,10.69,13.58,-2.89,0.79,none
0.63,9.92,0.37,17.24,1,14.67,0,0,12.63,14.67,-2.04,0.86,none
0.77,7.9,0.23,12.51,1,10.75,0,0,8.96,10.75,-1.79,0.83,none
0.31,2.8,0.69,9.81,1,8.98,0,0,7.64,8.98,-1.34,0.85,none
0.89,6.96,0.11,13.81,1,8.05,0,0,7.71,8.05,-0.34,0.96,attractive
0.94,2.37,0.06,15.33,1,14.8,0,0,3.15,14.8,-11.65,0.21,attractive
0.82,4.15,0.18,16.31,1,15.72,0,0,6.34,15.72,-9.38,0.4,attractive
0.64,1.52,0.36,8.44,1,5.75,0,0,4.01,5.75,-1.74,0.7,none
0.18,8.18,0.82,14.06,1,12.7,0,0,13,12.7,0.3,1.02,unattractive
0.11,3.5,0.89,8.61,1,7.73,0,0,8.05,7.73,0.32,1.04,unattractive
0.67,2.13,0.33,6.4,1,4.38,0,0,3.54,4.38,-0.84,0.81,none
0.52,5.44,0.48,19.37,1,13.64,0,0,12.13,13.64,-1.51,0.89,none
0.03,2.85,0.97,17.97,1,3,0,0,17.52,3,14.52,5.84,unattractive
0.65,5.4,0.35,17.64,1,10.57,0,0,9.68,10.57,-0.89,0.92,none
0.9,7.22,0.1,16.68,1,10.34,0,0,8.17,10.34,-2.17,0.79,attractive
0.8,3.01,0.2,9.86,1,5.06,0,0,4.38,5.06,-0.68,0.87,none
0.84,7.72,0.16,12.75,1,11.34,0,0,8.52,11.34,-2.82,0.75,attractive
0.13,7.67,0.87,16.71,1,9.92,0,0,15.53,9.92,5.61,1.57,unattractive
0.19,7.81,0.81,16.5,1,16.5,0,0,14.85,16.5,-1.65,0.9,unattractive
0.96,8.76,0.04,13.9,1,9.26,0,0,8.97,9.26,-0.29,0.97,attractive
0.67,11.7,0.33,16.21,1,11.83,0,0,13.19,11.83,1.36,1.11,none
0.95,10.04,0.05,18.85,1,15.37,0,0,10.48,15.37,-4.89,0.68,attractive
0.13,3.18,0.87,12.14,1,3.99,0,0,10.98,3.99,6.99,2.75,unattractive
0.11,9.22,0.89,17.23,1,11.29,0,0,16.35,11.29,5.06,1.45,unattractive
0.79,1.16,0.21,16.26,1,1.74,0,0,4.33,1.74,2.59,2.49,none
0.37,16.87,0.63,19.3,1,17.31,0,0,18.4,17.31,1.09,1.06,none
0.5,13.18,0.5,18.72,1,16.69,0,0,15.95,16.69,-0.74,0.96,none
0.87,5.45,0.13,10.04,1,5.59,0,0,6.05,5.59,0.46,1.08,attractive
0.12,2.77,0.88,15.37,1,10.61,0,0,13.86,10.61,3.25,1.31,unattractive
0.52,6.61,0.48,15.55,1,13.58,0,0,10.9,13.58,-2.68,0.8,none
0.67,7.25,0.33,17.12,1,13.02,0,0,10.51,13.02,-2.51,0.81,none
0.82,11.36,0.18,17.96,1,14.42,0,0,12.55,14.42,-1.87,0.87,attractive
0.99,5.62,0.01,19.87,1,12.57,0,0,5.76,12.57,-6.81,0.46,attractive
0.37,3.09,0.63,18.47,1,17.42,0,0,12.78,17.42,-4.64,0.73,none
0.45,0.26,0.55,5.67,1,5.24,0,0,3.24,5.24,-2,0.62,none
0.71,2.65,0.29,15.77,1,15.14,0,0,6.45,15.14,-8.69,0.43,none
0.35,2.85,0.65,19.29,1,18.39,0,0,13.54,18.39,-4.85,0.74,none
0.46,3.63,0.54,13.12,1,6.82,0,0,8.75,6.82,1.93,1.28,none
0.79,8.18,0.21,16.33,1,14.87,0,0,9.89,14.87,-4.98,0.67,none
0.12,3.99,0.88,11.87,1,7.67,0,0,10.92,7.67,3.25,1.42,unattractive
0.04,1.25,0.96,18.57,1,7.54,0,0,17.88,7.54,10.34,2.37,unattractive
0.65,5.1,0.35,13.12,1,6.23,0,0,7.91,6.23,1.68,1.27,none
0.1,2.65,0.9,16.69,1,11.1,0,0,15.29,11.1,4.19,1.38,unattractive
0.79,2.5,0.21,16.59,1,2.94,0,0,5.46,2.94,2.52,1.86,none
0.28,7.92,0.72,19.5,1,11.33,0,0,16.26,11.33,4.93,1.44,none
0.14,9.38,0.86,11.18,1,10.56,0,0,10.93,10.56,0.37,1.04,unattractive
0.49,6.29,0.51,16.65,1,13.88,0,0,11.57,13.88,-2.31,0.83,none
0.79,4.28,0.21,17.86,1,15.19,0,0,7.13,15.19,-8.06,0.47,none
0.59,16.95,0.41,17.97,1,17.83,0,0,17.37,17.83,-0.46,0.97,none
0.88,9.16,0.12,16.04,1,11.7,0,0,9.99,11.7,-1.71,0.85,attractive
0.03,12.4,0.97,16.59,1,16.03,0,0,16.46,16.03,0.43,1.03,unattractive
0.35,10.21,0.65,19.59,1,15.73,0,0,16.31,15.73,0.58,1.04,none
0.14,16.04,0.86,18.05,1,16.59,0,0,17.77,16.59,1.18,1.07,unattractive
0.57,1.48,0.43,10.18,1,3.85,0,0,5.22,3.85,1.37,1.36,none
0.3,3.75,0.7,15.99,1,7.74,0,0,12.32,7.74,4.58,1.59,none
0.31,3.33,0.69,12.82,1,10.47,0,0,9.88,10.47,-0.59,0.94,none
0.85,2.61,0.15,14.68,1,11.66,0,0,4.42,11.66,-7.24,0.38,attractive
0.32,11.19,0.68,18.41,1,17.64,0,0,16.1,17.64,-1.54,0.91,none
0.07,1.02,0.93,8.46,1,8.17,0,0,7.94,8.17,-0.23,0.97,unattractive
0.43,1.63,0.57,7.64,1,1.96,0,0,5.06,1.96,3.1,2.58,none
0.36,7.4,0.64,12.21,1,11.31,0,0,10.48,11.31,-0.83,0.93,none
0.32,1.73,0.68,19.47,1,10.54,0,0,13.79,10.54,3.25,1.31,none
0.84,7.27,0.16,14.01,1,11.64,0,0,8.35,11.64,-3.29,0.72,attractive
0.54,5.29,0.46,11.71,1,7.63,0,0,8.24,7.63,0.61,1.08,none
0.91,3.21,0.09,18.59,1,12.06,0,0,4.59,12.06,-7.47,0.38,attractive
0.45,4.47,0.55,16.08,1,5.69,0,0,10.86,5.69,5.17,1.91,none
0.55,2.25,0.45,14.65,1,13.03,0,0,7.83,13.03,-5.2,0.6,none
0.49,1.91,0.51,15.59,1,14,0,0,8.89,14,-5.11,0.64,none
0.85,2.5,0.15,6.31,1,5.18,0,0,3.07,5.18,-2.11,0.59,attractive
0.91,2.69,0.09,13.65,1,7.79,0,0,3.68,7.79,-4.11,0.47,attractive
0.1,0.36,0.9,4.82,1,3.28,0,0,4.37,3.28,1.09,1.33,unattractive
0.88,1.16,0.12,14.8,1,8.88,0,0,2.8,8.88,-6.08,0.32,attractive
0.21,1.32,0.79,16.53,1,8.36,0,0,13.34,8.36,4.98,1.6,none
